t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms
30832.3,59.4244,8650,2750,8650,2750,5074.61,0,0.45663,16.8281
30848.7,60.7364,8650,2750,8650,2750,5048.49,0,0.868245,16.4646
30865.3,60.2308,8650,2750,8650,2750,5022.42,1,0.283315,16.6028
30889.5,41.3355,8650,2750,8650,2750,4984.91,0,0.888122,24.1923
30899.3,102.738,8650,2750,8650,2750,4969.98,1,0.13146,9.7335
30915.6,61.2216,8650,2750,8650,2750,4945.12,0,0.539813,16.3341
30933,57.4884,8650,2750,8650,2750,4918.91,0,0.974683,17.3948
30957.2,41.2754,8650,2750,8650,2750,4882.88,1,0.58037,24.2275
30975.1,55.798,8650,2750,8650,2750,4856.56,1,0.028415,17.9218
30986.4,88.6242,8650,2750,8650,2750,4840.13,0,0.310505,11.2836
30999.2,78.0853,8650,2750,8650,2750,4821.62,0,0.630668,12.8065
31015.6,60.9151,8650,2750,8650,2750,4798.1,1,0.041075,16.4163
31034.2,54.0421,8650,2750,8650,2750,4771.87,0,0.503677,18.5041
31049.2,66.4103,8650,2750,8650,2750,4750.73,0,0.880125,15.0579
31066.6,57.462,8650,2750,8650,2750,4726.53,1,0.315195,17.4028
31082.2,64.2121,8650,2750,8650,2750,4705.08,0,0.70453,15.5734
31099.4,58.0943,8650,2750,8650,2750,4681.6,1,0.134865,17.2134
31115.3,62.8741,8650,2750,8650,2750,4660.11,0,0.532485,15.9048
31132.2,59.2484,8650,2750,8650,2750,4637.52,0,0.954437,16.8781
31148.1,63.0032,8650,2750,8650,2750,4616.48,1,0.351243,15.8722
31165.5,57.2197,8650,2750,8650,2750,4593.53,0,0.788155,17.4765
31183.6,55.4757,8650,2750,8650,2750,4570.09,1,0.238802,18.0259
31199.1,64.1355,8650,2750,8650,2750,4550.01,0,0.628603,15.592
31215.8,59.9272,8650,2750,8650,2750,4528.72,1,0.045775,16.6869
31233.4,56.8686,8650,2750,8650,2750,4506.5,0,0.485385,17.5844
31248.3,67.3891,8650,2750,8650,2750,4487.91,0,0.856365,14.8392
31264.9,60.0417,8650,2750,8650,2750,4467.23,1,0.272743,16.6551
31364.2,10.069,8650,2750,8650,2750,4347.78,2,0.755615,99.3149
31376.7,80.1237,8650,2750,8650,2750,4333.21,1,0.0676325,12.4807
31388,88.4345,8650,2750,8650,2750,4320.11,0,0.350327,11.3078
31399.7,85.5096,8650,2750,8650,2750,4306.63,0,0.642693,11.6946
31415.4,63.6424,8650,2750,8650,2750,4288.66,1,0.0355125,15.7128
31432.1,59.8201,8650,2750,8650,2750,4269.7,0,0.453433,16.7168
31450.2,55.3278,8650,2750,8650,2750,4249.39,0,0.905285,18.0741
31466.1,62.8579,8650,2750,8650,2750,4231.68,1,0.303008,15.9089
31485.3,52.0641,8650,2750,8650,2750,4210.49,0,0.783185,19.2071
31501.5,61.9283,8650,2750,8650,2750,4192.83,1,0.186878,16.1477
31516.9,65.0102,8650,2750,8650,2750,4176.15,0,0.571432,15.3822
31532.3,64.5703,8650,2750,8650,2750,4159.49,0,0.958607,15.487
31548.9,60.3002,8650,2750,8650,2750,4141.8,1,0.3732,16.5837
31565.9,58.9703,8650,2750,8650,2750,4123.86,0,0.797143,16.9577
