t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay
35626.7,65.5983,13350,13450,13350,13450,2759.91,1,0.30865,15.2443,1.002,0.808423,0.381108,0.918474
35643,61.3121,13350,13450,13350,13450,2743.7,0,0.7164,16.31,1.002,0.922593,0.40775,0.91303
35658.7,63.8941,13350,13450,13350,13450,2728.33,1,0.107672,15.6509,1.282,1.03215,0.391272,0.916393
35675.2,60.3304,13350,13450,13350,13450,2712.23,0,0.522057,16.5754,1.282,1.14818,0.414385,0.911679
35690.7,64.4654,13350,13450,13350,13450,2697.34,0,0.909863,15.5122,1.282,1.25676,0.387805,0.917102
35707.9,58.4112,13350,13450,13350,13450,2681.09,1,0.337862,17.12,1.562,1.3766,0.428,0.908913
35726.5,53.7481,13350,13450,13350,13450,2663.66,0,0.802995,18.6053,1.562,1.50684,0.465133,0.901413
35760,29.786,13350,13450,13350,13450,2632.76,1,0.642315,33.5728,1.842,1.74185,0.83932,0.829204
35782,45.4775,13350,13438,13350,13447.7,2617.03,1,0.192037,21.9889,0.33,0.33,0.549722,0.884558
35801.1,52.3909,13350,13438,13350,13442,2600.01,0,0.66922,19.0873,0.33,0.33,0.477183,0.898993
35818.5,57.4247,13350,13426,13350,13436.7,2588.75,1,0.104572,17.4141,0.66,0.364509,0.435353,0.907423
35835.1,60.2232,13350,13426,13350,13431.8,2574.27,0,0.519695,16.6049,0.66,0.501499,0.415123,0.911529
35851.1,62.6527,13350,13426,13350,13427,2560.51,0,0.91872,15.961,0.66,0.633178,0.399025,0.914809
35866.9,63.3316,13350,13414,13350,13422.2,2551.04,1,0.313468,15.7899,0.99,0.763444,0.394747,0.915683
35883.9,58.6817,13350,13414,13350,13417.1,2536.63,0,0.739495,17.0411,0.99,0.904033,0.426028,0.909314
35900.2,61.4942,13350,13402,13350,13412.2,2527,1,0.146038,16.2617,1.32,1.03819,0.406543,0.913276
35917.6,57.3273,13350,13402,13350,13407,2512.55,0,0.58213,17.4437,1.32,1.1821,0.436092,0.907274
35935.7,55.2621,13350,13390,13350,13401.6,2501.65,1,0.03452,18.0956,1.65,1.33139,0.45239,0.90398
35953.3,56.784,13350,13390,13350,13396.3,2487.39,0,0.474785,17.6106,1.65,1.47668,0.440265,0.906429
35969.6,61.6116,13350,13390,13350,13391.4,2474.38,0,0.880552,16.2307,1.65,1.61058,0.405768,0.913434
35986.1,60.5378,13350,13378,13350,13386.5,2465.13,1,0.293518,16.5186,1.98,1.74686,0.412965,0.911968
36003.4,57.7001,13350,13378,13350,13381.3,2451.51,0,0.726793,17.331,1.98,1.88984,0.433275,0.907844
36019.7,61.4269,13350,13366,13350,13376.4,2442.67,1,0.13378,16.2795,2.31,2.02415,0.406987,0.913185
36037.7,55.5226,13350,13366,13350,13371,2428.8,0,0.584047,18.0107,2.31,2.17274,0.450267,0.904408
36055.1,57.397,13350,13354,13350,13365.8,2419.29,1,0.01961,17.4225,2.64,2.31647,0.435562,0.907381
36073.3,55.1685,13350,13354,13350,13360.3,2405.62,0,0.472768,18.1263,2.64,2.46601,0.453158,0.903825
36089.6,61.1617,13350,13354,13350,13355.4,2393.42,0,0.88152,16.3501,2.64,2.6009,0.408753,0.912826
36105.7,62.1056,13350,13342,13350,13350.6,2385.23,1,0.28406,16.1016,2.97,2.73374,0.40254,0.914092
36123.1,57.5702,13350,13342,13350,13345.4,2372.51,0,0.718313,17.3701,2.97,2.87704,0.434253,0.907646
36139.3,61.7642,13350,13330,13350,13340.5,2364.45,1,0.123077,16.1906,3.3,3.01062,0.404765,0.913638
36156.5,58.0956,13350,13330,13350,13335.4,2352.08,0,0.553402,17.213,3.3,3.15262,0.430325,0.908442
36173.2,59.8616,13350,13330,13350,13330.3,2340.2,0,0.971033,16.7052,3.3,3.29044,0.41763,0.911019
36194,48.0674,13350,13318,13350,13324.1,2329.18,1,0.491135,20.8041,3.63,3.46207,0.520103,0.890424
36214.7,48.3676,13350,13306,13350,13317.9,2318.38,1,0.00801,20.675,3.96,3.63264,0.516875,0.891066
36234.3,50.9565,13350,13306,13350,13312,2304.88,0,0.498625,19.6246,3.96,3.79455,0.490615,0.896302
36255.2,47.7719,13350,13294,13350,13305.7,2294.19,1,0.021945,20.9328,4.29,3.96724,0.52332,0.889785
36276.5,47.0803,13350,13294,13350,13299.4,2279.9,0,0.552953,21.2403,4.29,4.14247,0.531008,0.88826
36294.7,54.9547,13350,13282,13350,13293.9,2271.3,1,0.0078725,18.1968,4.62,4.2926,0.45492,0.90347
36312.4,56.4232,13350,13282,13350,13288.6,2259.62,0,0.450953,17.7232,4.62,4.43881,0.44308,0.90586
36332.8,48.8935,13350,13282,13350,13282.5,2246.29,0,0.962268,20.4526,4.62,4.60755,0.511315,0.892172
36353.2,49.092,13350,13270,13350,13276.3,2236.62,1,0.471515,20.3699,4.95,4.7756,0.509247,0.892583
36372.6,51.6908,13350,13270,13350,13270.5,2224.28,0,0.95516,19.3458,4.95,4.9352,0.483645,0.897697
36390.3,56.2708,13350,13258,13350,13265.2,2216.47,1,0.39944,17.7712,5.28,5.08181,0.44428,0.905618
36412.6,44.8809,13350,13258,13350,13258.5,2202.55,0,0.95647,22.2812,5.28,5.26564,0.55703,0.883117
36430.2,56.8443,13350,13246,13350,13253.2,2195.04,1,0.396268,17.5919,5.61,5.41077,0.439797,0.906524
36448.2,55.456,13350,13246,13350,13247.8,2183.99,0,0.847075,18.0323,5.61,5.55953,0.450808,0.904299
36465.6,57.4356,13350,13234,13350,13242.6,2176.77,1,0.282345,17.4108,5.94,5.70317,0.43527,0.90744
36483.7,55.2679,13350,13234,13350,13237.2,2165.88,0,0.734688,18.0937,5.94,5.85245,0.452343,0.90399
36501,58.0184,13350,13222,13350,13232,2158.91,1,0.165585,17.2359,0.27,0.27,0.430898,0.908326
36519.1,55.2822,13350,13222,13350,13226.6,2148.22,0,0.61781,18.089,0.27,0.27,0.452225,0.904013
36536.2,58.2761,13350,13210,13350,13221.4,2141.45,1,0.0468025,17.1597,0.6,0.285444,0.428993,0.908712
36555.5,51.8729,13350,13210,13350,13215.7,2130.26,0,0.52875,19.2779,0.6,0.444487,0.481948,0.898037
36572.8,57.9737,13350,13210,13350,13210.5,2120.35,0,0.95998,17.2492,0.6,0.586793,0.43123,0.908259
36590.5,56.2737,13350,13198,13350,13205.1,2113.46,1,0.404238,17.7703,0.93,0.733398,0.444257,0.905622
36609,54.202,13350,13198,13350,13199.6,2103.04,0,0.865475,18.4495,0.93,0.885606,0.461237,0.902197
36629.3,49.0875,13350,13186,13350,13193.5,2094.85,1,0.37477,20.3718,1.26,1.05367,0.509295,0.892574
36650.2,48.0116,13350,13186,13350,13187.3,2083.32,0,0.895477,20.8283,1.26,1.22551,0.520707,0.890304
36667.2,58.5652,13350,13174,13350,13182.1,2077.12,1,0.322352,17.075,1.59,1.36638,0.426875,0.909142
36685.4,55.2324,13350,13174,13350,13176.7,2067.27,0,0.774985,18.1053,1.59,1.51574,0.452632,0.903931
36702.2,59.4467,13350,13162,13350,13171.7,2061.34,1,0.19553,16.8218,1.92,1.65452,0.420545,0.910427
36722.2,49.9958,13350,13162,13350,13165.7,2050.65,0,0.695572,20.0017,1.92,1.81954,0.500042,0.894419
36739.4,58.0376,13350,13150,13350,13160.5,2044.62,1,0.126327,17.2302,2.25,1.96169,0.430755,0.908355
36758.1,53.6092,13350,13150,13350,13154.9,2034.83,0,0.592665,18.6535,2.25,2.11558,0.466338,0.901171
36774.4,61.0128,13350,13138,13350,13150,2029.36,1,0.002415,16.39,2.58,2.2508,0.40975,0.912622
36792.1,56.6005,13350,13138,13350,13144.7,2020.23,0,0.444108,17.6677,2.58,2.39656,0.441693,0.906141
36808.7,60.1909,13350,13138,13350,13139.7,2011.72,0,0.859452,16.6138,2.58,2.53362,0.415345,0.911484
36825.5,59.7761,13350,13126,13350,13134.7,2006.25,1,0.27768,16.7291,2.91,2.67163,0.418227,0.910898
36843.8,54.6615,13350,13126,13350,13129.2,1997.03,0,0.73504,18.2944,2.91,2.82256,0.45736,0.902978
36860.3,60.4197,13350,13114,13350,13124.2,1991.76,1,0.148813,16.5509,3.24,2.95911,0.413772,0.911804
36893.6,29.9977,13350,13114,13350,13114.2,1975.27,0,0.98221,33.3359,3.24,3.23413,0.833398,0.830301
36912.5,53.1539,13350,13102,13350,13108.6,1969.06,1,0.452543,18.8133,3.57,3.38934,0.470333,0.900368
36931.7,51.8645,13350,13102,13350,13102.8,1959.72,0,0.934568,19.281,3.57,3.54841,0.482025,0.898022
36950.1,54.3227,13350,13090,13350,13097.3,1953.83,1,0.39478,18.4085,3.9,3.70028,0.460212,0.902404
36969.3,52.0939,13350,13090,13350,13091.5,1944.69,0,0.874682,19.1961,3.9,3.85864,0.479903,0.898447
36987,56.4898,13350,13078,13350,13086.2,1939.25,1,0.31724,17.7023,4.23,4.00469,0.442558,0.905966
37005.6,53.875,13350,13078,13350,13080.6,1930.55,0,0.781277,18.5615,4.23,4.15782,0.464038,0.901634
37023.3,56.4959,13350,13066,13350,13075.3,1925.22,1,0.223788,17.7004,4.56,4.30385,0.44251,0.905975
37041.3,55.5565,13350,13066,13350,13069.9,1916.92,0,0.67378,17.9997,4.56,4.45235,0.449993,0.904464
37058.3,58.9178,13350,13054,13350,13064.8,1912.02,1,0.0981,16.9728,4.89,4.59237,0.42432,0.90966
37076.2,55.8244,13350,13054,13350,13059.4,1903.89,0,0.545932,17.9133,4.89,4.74016,0.447832,0.9049
37092.9,59.983,13350,13054,13350,13054.4,1896.38,0,0.962717,16.6714,4.89,4.8777,0.416785,0.911191
37109.7,59.4845,13350,13042,13350,13049.4,1891.7,1,0.382995,16.8111,5.22,5.01639,0.420278,0.910481
37128.3,53.6639,13350,13042,13350,13043.8,1883.43,0,0.848858,18.6345,5.22,5.17012,0.465863,0.901267
37145.8,57.0477,13350,13030,13350,13038.6,1878.52,1,0.287088,17.5292,5.55,5.31474,0.43823,0.906841
37170.6,40.3159,13350,13030,13350,13031.1,1867.7,0,0.90719,24.8041,5.55,5.51937,0.620103,0.870775
37188.2,57.0532,13350,13018,13350,13025.9,1862.9,1,0.345378,17.5275,5.88,5.66397,0.438188,0.90685
37208.5,49.1466,13350,13018,13350,13019.8,1854.17,0,0.85406,20.3473,5.88,5.83184,0.508682,0.892696
37225,60.5653,13350,13006,13350,13014.8,1849.9,1,0.266838,16.5111,0.209999,0.209999,0.412778,0.912006
37246.7,46.1357,13350,13006,13350,13008.3,1840.75,0,0.808717,21.6752,0.209999,0.209999,0.54188,0.886108
