t_ms,fps,hero_x,hero_y,hero_units_per_sec,steps,interp_alpha
47609.1,79.4433,9750,12650,1215.17,0,0.72341
47622.8,72.7601,9750,12650,1212.04,1,0.067005
47641.8,52.5301,9750,12650,1207.74,0,0.542922
47656.9,66.511,9750,12650,1204.36,0,0.9188
47672.2,65.1789,9750,12650,1200.93,1,0.30236
47687.3,66.3482,9750,12650,1197.58,0,0.67916
47704.8,57.2807,9750,12650,1193.73,1,0.115608
47719.8,66.6769,9750,12650,1190.44,0,0.49055
47733.9,70.6499,9750,12650,1187.35,0,0.844407
47749.5,64.1367,9750,12650,1183.96,1,0.2342
47766.3,59.4573,9750,12650,1180.33,0,0.65467
47782.8,60.7242,9750,12650,1176.8,1,0.0663675
47797.7,66.9689,9750,12650,1173.61,0,0.439675
47814.5,59.6694,9750,12650,1170.06,0,0.85865
47832.4,55.6802,9750,12650,1166.27,1,0.307642
47847.1,68.2054,9750,12650,1163.2,0,0.674182
47864,59.0734,9750,12650,1159.67,1,0.097385
47880.8,59.5749,9750,12650,1156.19,0,0.517025
47898.2,57.498,9750,12650,1152.61,0,0.951823
47914.7,60.6704,9750,12650,1149.24,1,0.363885
47931.4,59.8659,9750,12650,1145.84,0,0.781485
47949.3,55.7868,9750,12650,1142.22,1,0.22962
47964.7,65.044,9750,12650,1139.13,0,0.613975
47981.3,60.2065,9750,12650,1135.81,1,0.0292125
47997.5,61.6154,9750,12650,1132.58,0,0.434955
48014.3,59.5111,9750,12650,1129.26,0,0.855045
48031.6,57.7697,9750,12650,1125.87,1,0.287798
48047.4,63.4743,9750,12650,1122.79,0,0.681657
48065,56.9149,9750,12650,1119.38,1,0.12091
48087.8,43.8066,9750,12650,1114.98,0,0.6916
48099.6,84.73,9750,12650,1112.71,0,0.986655
48114.8,65.619,9750,12650,1109.81,1,0.367642
48131,62.0378,9750,12650,1106.75,0,0.770622
48150.2,52.0988,9750,12650,1103.13,1,0.25048
48165.1,67.0151,9750,12650,1100.33,0,0.62353
48180.9,63.2935,9750,12650,1097.39,1,0.018515
48198.6,56.3333,9750,12650,1094.09,0,0.462303
48214.8,61.9629,9750,12650,1091.12,0,0.86577
48230.5,63.6229,9750,12650,1088.23,1,0.25871
48247,60.4642,9750,12650,1085.22,0,0.672177
48264.3,57.9408,9750,12650,1082.09,1,0.103652
48282,56.4321,9750,12650,1078.89,0,0.546663
48297.4,64.7769,9750,12650,1076.12,0,0.932603
48314.2,59.5086,9750,12650,1073.12,1,0.35271
48331,59.6019,9750,12650,1070.15,0,0.77216
48346.9,62.7888,9750,12650,1067.34,1,0.17032
48363.6,60.0136,9750,12650,1064.41,0,0.586892
48380.2,60.2675,9750,12650,1061.52,1,0.00171
48397.4,58.0535,9750,12650,1058.53,0,0.432348
48414.5,58.7116,9750,12650,1055.59,0,0.858158
48431,60.3227,9750,12650,1052.74,1,0.272595
48447.5,60.7821,9750,12650,1049.93,0,0.6839
48464.2,60.0118,9750,12650,1047.1,1,0.100485
48482.6,54.1618,9750,12650,1043.99,0,0.562065
48497.1,69.1525,9750,12650,1041.56,0,0.923585
48513.5,60.9611,9750,12650,1038.82,1,0.333683
48530.3,59.5217,9750,12650,1036.02,0,0.753698
48547.6,57.6585,9750,12650,1033.16,1,0.187285
48564.8,58.2771,9750,12650,1030.33,0,0.61627
48580.3,64.6329,9750,12650,1027.8,1,0.00307
48597.2,58.8918,9750,12650,1025.04,0,0.427577
48613.4,61.757,9750,12650,1022.42,0,0.83239
48630.3,59.1765,9750,12650,1019.7,1,0.254855
48649.7,51.6697,9750,12650,1016.6,0,0.738698
48663.8,70.7129,9750,12650,1014.34,1,0.09224
48680.8,58.94,9750,12650,1011.66,0,0.5164
48698,58.193,9750,12650,1008.95,0,0.946005
48713.9,62.5935,9750,12650,1006.44,1,0.345407
48732.4,54.1941,9750,12650,1003.56,0,0.806713
48747,68.5848,9750,12650,1001.3,1,0.171225
48763.9,59.0734,9750,12650,998.683,0,0.594428
48784.7,48.1584,9750,12650,995.494,1,0.113547
48797.7,76.5714,9750,12650,993.499,0,0.44004
48813.6,63.0024,9750,12650,991.085,0,0.83685
48830.3,59.9927,9750,12650,988.562,1,0.253567
48847.4,58.4966,9750,12650,985.989,0,0.680942
48864.7,57.7484,9750,12650,983.395,1,0.113855
48880.5,63.3052,9750,12650,981.041,0,0.508767
48897.1,60.3074,9750,12650,978.582,0,0.92331
48914.1,58.8239,9750,12650,976.074,1,0.348307
48930.5,60.794,9750,12650,973.659,0,0.759533
48948.3,56.2594,9750,12650,971.063,1,0.203902
48966.5,55.0103,9750,12650,968.422,0,0.658363
48981.3,67.496,9750,12650,966.281,1,0.028755
48997,63.4896,9750,12650,964.014,0,0.42252
49013.7,60.0208,9750,12650,961.629,0,0.839042
49030.5,59.6716,9750,12650,959.241,1,0.258002
49051.5,47.4217,9750,12650,956.253,0,0.785187
49063.9,81.1102,9750,12650,954.515,1,0.09341
49080.2,61.311,9750,12650,952.225,0,0.501167
49101.5,46.8626,9750,12650,949.245,1,0.0346425
49114.3,78.3288,9750,12650,947.472,0,0.35381
49131.5,58.0339,9750,12650,945.088,0,0.784593
49147.3,63.1892,9750,12650,942.91,1,0.18023
49163.9,60.503,9750,12650,940.645,0,0.593432
49181.6,56.3523,9750,12650,938.226,1,0.03707
49199.4,56.1719,9750,12650,935.812,0,0.482132
49214.7,65.5506,9750,12650,933.752,0,0.863518
49232.2,57.1821,9750,12650,931.403,1,0.300718
49249.1,59.0552,9750,12650,929.14,0,0.72405
49265.1,62.648,9750,12650,927.016,1,0.123105
49282.3,58.0265,9750,12650,924.734,0,0.553943
49297.4,66.2726,9750,12650,922.745,0,0.931172
49313.7,61.3527,9750,12650,920.606,1,0.338652
49331,57.5924,9750,12650,918.339,0,0.772738
49346.8,63.5171,9750,12650,916.292,1,0.166332
49363.7,58.9654,9750,12650,914.098,0,0.59031
49381,57.8593,9750,12650,911.873,1,0.0223925
49398.4,57.7237,9750,12650,909.653,0,0.45549
49415.2,59.2955,9750,12650,907.502,0,0.877108
49431.4,61.7478,9750,12650,905.447,1,0.28198
49448.4,58.9039,9750,12650,903.302,0,0.7064
49466.3,55.7324,9750,12650,901.046,1,0.154972
49480.8,68.9318,9750,12650,899.23,0,0.51765
49503,45.0414,9750,12650,896.466,1,0.072695
49519.7,59.8892,9750,12650,894.398,0,0.490133
49532.9,75.7846,9750,12650,892.77,0,0.820015
49547.8,67.101,9750,12650,890.939,1,0.192587
49564.3,60.694,9750,12650,888.924,0,0.60449
49581.6,57.8028,9750,12650,886.817,1,0.036995
49597.6,62.6154,9750,12650,884.881,0,0.436258
49614.2,60.2087,9750,12650,882.877,0,0.85148
49632.1,55.8522,9750,12650,880.726,1,0.29909
49647.5,64.8955,9750,12650,878.884,0,0.684325
49665,57.0695,9750,12650,876.798,1,0.122387
49681.6,60.2689,9750,12650,874.832,0,0.537195
49699.6,55.6056,9750,12650,872.711,0,0.98679
49713.7,70.917,9750,12650,871.055,1,0.339315
49730.6,59.0664,9750,12650,869.076,0,0.762568
49747.6,58.9939,9750,12650,867.102,1,0.18634
49764.9,57.8058,9750,12650,865.098,0,0.618823
49780.8,62.867,9750,12650,863.263,1,0.0164875
49798.1,57.9371,9750,12650,861.281,0,0.44799
49814.3,61.5665,9750,12650,859.423,0,0.854055
