t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
49195.4,21.5629,17550,10826,17550,10829,2022.8,1,0.747413,46.3759,0.66,0.576646,1.1594,0.772045,42.5424,0.0649,1.5811,25.2149,8.386,0.1509
49239.4,22.7414,17550,10814,17550,10815.8,2010.43,1,0.846727,43.9726,0.99,0.93942,1.09932,0.782466,39.3138,0.0471,2.2238,23.8938,7.6756,0.0503
49279.2,25.1276,17550,10802,17550,10803.9,1999.57,1,0.841648,39.7968,1.32,1.26774,0.99492,0.800907,36.4394,0.0475,1.5558,21.3751,8.2578,0.0509
49315,27.8789,17550,10790,17550,10793.1,1990.09,1,0.738383,35.8694,1.65,1.56367,0.896735,0.818648,32.3093,0.046,2.0839,19.2315,6.2143,0.0476
49360.6,21.9349,17550,10778,17550,10779.5,1977.68,1,0.87812,45.5895,1.98,1.93978,1.13974,0.77544,37.2959,0.0546,1.404,19.2541,10.43,0.0623
49391.7,32.1825,17550,10766,17550,10770.1,1969.92,1,0.65494,31.0728,2.31,2.19613,0.77682,0.84085,27.5524,0.0463,1.3948,14.8712,6.6971,0.0567
49428.2,27.4169,17550,10754,17550,10759.2,1960.59,1,0.566787,36.4739,2.64,2.49704,0.911847,0.815892,33.1406,0.0488,1.3599,17.9148,8.8946,0.0737
49460.1,31.2871,17550,10742,17550,10749.6,1952.73,1,0.36584,31.9621,2.97,2.76073,0.799052,0.836689,28.2359,0.0431,1.3617,14.7493,6.9547,0.0621
49491.6,31.7803,17550,10730,17550,10740.2,1945.09,1,0.15249,31.466,3.3,3.02032,0.78665,0.839007,28.0163,0.0459,1.3825,15.28,6.8722,0.0559
49528.6,26.9906,17550,10718,17550,10729.1,1935.87,1,0.07874,37.05,3.63,3.32598,0.92625,0.813274,30.1256,0.0451,1.356,15.0152,9.2375,0.0526
49560.4,31.4966,17550,10718,17550,10719.5,1926.47,0,0.872477,31.7495,3.63,3.58792,0.793737,0.837681,27.5807,0.0393,1.3612,15.0482,6.6908,0.0454
49588.8,35.1338,17550,10706,17550,10711,1919.96,1,0.584042,28.4626,3.96,3.82273,0.711565,0.853183,27.1882,0.0452,1.3413,14.6856,6.7376,0.0467
49625.8,27.0547,17550,10694,17550,10699.9,1911.03,1,0.508095,36.9621,4.29,4.12767,0.924052,0.813673,33.2783,0.058,1.4453,14.8259,9.8542,0.0757
49670.9,22.198,17550,10682,17550,10686.4,1899.9,1,0.634325,45.0492,4.62,4.49933,1.12623,0.77778,35.1542,0.0499,2.074,21.2363,6.636,0.0761
49717.1,21.6166,17550,10670,17550,10672.5,1888.57,1,0.790845,46.2608,4.95,4.88098,1.15652,0.772541,41.0563,0.0419,2.0334,24.1222,9.0644,0.0514
49751.9,28.7733,17550,10658,17550,10662.1,1880.61,1,0.659707,34.7545,5.28,5.1677,0.868863,0.823756,31.0574,0.0452,1.3501,17.1091,6.848,0.0531
49792,24.9118,17550,10646,17550,10650,1871.24,1,0.66325,40.1417,5.61,5.49887,1.00354,0.799368,36.3943,0.0593,1.3893,19.2051,8.8784,0.0677
49826.2,29.2151,17550,10634,17550,10639.8,1863.6,1,0.518973,34.2289,5.94,5.78126,0.855722,0.826175,29.4568,0.0524,1.5802,16.4675,6.6894,0.0491
49864.6,26.0873,17550,10622,17550,10628.3,1854.92,1,0.477293,38.3328,0.27,0.27,0.95832,0.807475,33.7744,0.0604,1.9298,18.7537,8.3872,0.0512
49897.5,30.3793,17550,10610,17550,10618.4,1847.79,1,0.30022,32.9171,0.6,0.369072,0.822927,0.832243,29.2718,0.0474,1.374,15.7954,7.2413,0.0467
49934.3,27.1899,17550,10598,17550,10607.4,1839.7,1,0.219677,36.7783,0.93,0.672493,0.919457,0.814508,32.2318,0.0646,1.835,18.5174,7.0608,0.0506
49973.4,25.5453,17550,10586,17550,10595.6,1831.07,1,0.19833,39.1461,1.26,0.995448,0.978652,0.80382,31.3391,0.062,1.6872,15.3597,8.2862,0.0627
50003.7,32.9809,17550,10586,17550,10586.5,1823.12,0,0.956345,30.3206,1.26,1.24559,0.758015,0.844386,26.5548,0.0445,1.3558,15.6346,4.9673,0.0438
50036.6,30.4509,17550,10574,17550,10576.7,1816.31,1,0.777337,32.8397,1.59,1.51652,0.820993,0.832602,31.7664,0.0443,1.3642,19.1057,6.5002,0.0577
50073.3,27.1973,17550,10562,17550,10565.6,1808.54,1,0.696548,36.7684,1.92,1.81986,0.91921,0.814553,32.1852,0.0663,1.3711,16.4961,7.4118,0.0743
50116.8,22.9966,17550,10550,17550,10552.6,1799.16,1,0.783662,43.4846,2.25,2.17861,1.08712,0.784599,38.9781,0.045,1.78,26.8119,5.7286,0.0526
50152.8,27.842,17550,10538,17550,10541.8,1791.78,1,0.681585,35.9169,2.58,2.47492,0.897923,0.818431,32.913,0.0616,1.8992,19.6647,5.9714,0.0571
50195.3,23.514,17550,10526,17550,10529.1,1782.84,1,0.744783,42.5279,2.91,2.82578,1.0632,0.788797,39.0367,0.045,1.6107,23.4865,7.6512,0.0705
50227.2,31.2816,17550,10514,17550,10519.5,1776.6,1,0.543975,31.9677,3.24,3.08951,0.799192,0.836662,28.4976,0.0518,2.0731,16.6126,5.0805,0.0465
50268.2,24.3891,17550,10502,17550,10507.2,1768.21,1,0.569025,41.002,3.57,3.42778,1.02505,0.795541,37.7843,0.046,1.3822,22.8265,8.3589,0.1303
