t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
56222,6.17283,13450,12050,13450,12050,834.763,4,0.641842,162,5.60201,5.50173,4.05,0.405055,141.172,0.5868,3.3982,6.5373,117.584,0.0372
56416.3,5.14752,13450,12050,13450,12050,819.551,5,0.498547,194.268,1.00201,0.861604,4.85671,0.338327,129.296,0.5418,3.3059,7.1197,105.304,0.0243
56559.5,6.98356,13450,12050,13450,12050,808.688,4,0.078385,143.194,2.12201,1.86396,3.57984,0.449861,122.869,0.774,3.164,7.4418,97.7322,0.0403
56734.2,5.72232,13450,12050,13450,12050,795.816,4,0.447245,174.754,3.24201,3.08724,4.36886,0.377237,149.677,0.5791,2.9814,11.5886,121.097,0.0376
56872.8,7.21479,13450,12050,13450,12050,785.894,3,0.91235,138.604,4.08201,4.05747,3.46511,0.461527,120.549,0.5343,3.5557,6.9532,96.9835,0.0346
57005,7.56726,13450,12050,13450,12050,776.662,4,0.216055,132.148,5.20201,4.98251,3.3037,0.478452,116.695,0.479,3.3237,5.7307,94.7833,0.0297
57160.5,6.42845,13450,12050,13450,12050,766.068,4,0.10502,155.559,0.322013,0.0714183,3.88896,0.419875,137.731,0.4991,2.9102,5.774,116.307,0.041
57356.9,5.09264,13450,12050,13450,12050,753.102,5,0.014065,196.362,1.72201,1.44595,4.90905,0.334399,179.705,0.5748,3.6718,7.9352,153.628,0.0364
57508.9,6.57816,13450,12050,13450,12050,743.361,3,0.814517,152.018,2.56201,2.51008,3.80045,0.428251,131.704,0.5635,3.6665,6.1511,109.316,0.0215
57653.8,6.90116,13450,12050,13450,12050,734.308,4,0.437095,144.903,3.68201,3.5244,3.62258,0.445591,132.906,0.5318,4.0638,6.2437,103.202,0.0508
57811.1,6.35805,13450,12050,13450,12050,724.727,4,0.36912,157.281,4.80201,4.62537,3.93202,0.41586,126.737,0.4868,4.4987,9.4723,100.185,0.023
58030.6,4.55599,13450,12050,13450,12050,711.768,5,0.856403,219.491,0.202014,0.202014,5.48728,0.293919,174.466,0.4786,4.8622,10.0045,142.181,0.0313
58174.6,6.94151,13450,12050,13450,12050,703.512,4,0.457925,144.061,1.32201,1.17023,3.60152,0.447689,121.571,0.4339,3.6982,6.787,98.0633,0.0339
58322.5,6.76396,13450,12050,13450,12050,695.235,4,0.153983,147.842,2.44201,2.20513,3.69606,0.438344,129.306,0.511,3.4462,6.7744,105.251,0.0302
58464.1,7.06093,13450,12050,13450,12050,687.487,3,0.694595,141.624,3.28201,3.1965,3.54061,0.453815,124.658,0.6365,3.0129,5.8549,98.6154,0.0685
58610.1,6.85132,13450,12050,13450,12050,679.681,4,0.343527,145.957,4.40201,4.2182,3.64893,0.442978,129.423,0.449,3.3038,10.331,103.348,0.0377
58750.3,7.13135,13450,12050,13450,12050,672.347,3,0.849175,140.226,5.24201,5.19978,3.50565,0.45737,122.599,0.5837,3.4065,5.9935,95.694,0.0316
58907,6.38066,13450,12050,13450,12050,664.334,4,0.767265,156.724,0.362016,0.29685,3.91809,0.417155,139.156,0.5207,3.6491,7.2597,115.255,0.0328
59077.6,5.86174,13450,12050,13450,12050,655.827,5,0.0322075,170.598,1.76202,1.49103,4.26494,0.386086,153.381,0.7227,3.4082,5.878,130.321,0.033
59250.2,5.79601,13450,12050,13450,12050,647.442,4,0.345522,172.533,2.88202,2.69876,4.31331,0.381941,147.961,0.477,4.7574,9.8882,119.329,0.0379
59441.1,5.23648,13450,12050,13450,12050,638.407,5,0.119718,190.968,4.28202,4.03554,4.7742,0.344614,133.772,0.4915,2.9342,5.9572,109.739,0.0422
59631.1,5.26259,13450,12050,13450,12050,629.665,4,0.870228,190.02,5.40202,5.36568,4.75051,0.34644,160.195,0.5613,4.4563,6.4294,132.016,0.034
59807.1,5.68447,13450,12050,13450,12050,621.781,5,0.268175,175.918,0.802017,0.597106,4.39795,0.374796,149.239,0.4995,4.6139,8.0174,123.271,0.0403
59956.9,6.67228,13450,12050,13450,12050,615.219,4,0.01502,149.874,1.92202,1.64622,3.74685,0.433404,128.849,0.4396,3.5131,7.9273,102.116,0.0276
60122.3,6.04735,13450,12050,13450,12050,608.138,4,0.14906,165.362,3.04202,2.80375,4.13404,0.39753,149.784,0.5468,3.0653,7.0849,125.683,0.0343
60316.6,5.14655,13450,12050,13450,12050,600.023,5,0.00668,194.305,4.44202,4.16389,4.85762,0.338258,177.857,0.7725,2.9511,39.0701,122.936,0.0358
60479.4,6.14287,13450,12050,13450,12050,593.389,4,0.07644,162.79,5.56202,5.30342,4.06976,0.403273,133.779,0.5512,3.0224,9.2836,106.952,0.0337
60626.1,6.81664,13450,12050,13450,12050,587.535,3,0.743937,146.7,0.402018,0.330321,3.6675,0.441146,128.4,0.6025,3.0207,8.0556,102.02,0.0266
60762.7,7.32105,13450,12050,13450,12050,582.187,4,0.158747,136.592,1.52202,1.28647,3.41481,0.466735,123.094,0.4769,2.8738,8.137,99.5524,0.0274
60983.2,4.53537,13450,12050,13450,12050,573.757,5,0.670975,220.489,2.92202,2.82989,5.51223,0.292287,169.437,0.6391,3.0035,7.6864,139.171,0.061
61139.5,6.39732,13450,12050,13450,12050,567.927,4,0.578862,156.315,4.04202,3.9241,3.90789,0.418106,133.705,0.4992,2.962,10.9434,106.702,0.0271
61286.4,6.8074,13450,12050,13450,12050,562.555,4,0.251335,146.899,5.16202,4.95239,3.67247,0.440657,130.54,0.4923,2.9996,8.3223,106.266,0.0306
61472.9,5.36158,13450,12050,13450,12050,555.88,4,0.91414,186.512,0.28202,0.257979,4.66281,0.353287,167.084,0.591,3.7044,9.2163,136.661,0.051
61639.5,6.00269,13450,12050,13450,12050,550.05,5,0.07894,166.592,1.68202,1.42412,4.1648,0.394811,149.281,0.5096,3.2337,8.6916,121.032,0.048
61816.1,5.66353,13450,12050,13450,12050,544.002,4,0.493147,176.568,2.80202,2.6601,4.41421,0.373439,152.073,0.5097,4.9242,13.2783,120.893,0.0505
61991.3,5.70601,13450,12050,13450,12050,538.13,4,0.874495,175.254,3.92202,3.88688,4.38135,0.376187,160.355,0.6068,3.3389,11.2568,129.587,0.0406
62141.3,6.66637,13450,12050,13450,12050,533.204,4,0.62466,150.007,5.04202,4.93692,3.75016,0.433083,132.707,0.5566,3.0557,9.5414,105.812,0.0329
62314.4,5.77732,13450,12050,13450,12050,527.63,4,0.951927,173.091,0.162021,0.162021,4.32727,0.380754,147.2,0.6898,2.9062,9.5515,115.392,0.0449
62480,6.04062,13450,12050,13450,12050,522.407,5,0.0905775,165.546,1.56202,1.30738,4.13865,0.397122,128.993,0.7165,3.5072,8.8031,101.357,0.0734
62658.6,5.59776,13450,12050,13450,12050,516.886,4,0.55665,178.643,2.68202,2.55788,4.46607,0.369142,153.798,0.5005,4.5247,11.4981,124.381,0.0336
62795.9,7.28419,13450,12050,13450,12050,512.722,3,0.98874,137.284,3.52202,3.51887,3.43209,0.464939,121.228,0.52,3.1337,8.962,94.9711,0.0332
