t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
39679,7.32342,13450,11850,13450,11850,825.597,3,0.870827,136.548,4.08201,4.04584,3.41371,0.46685,123.585,0.4462
39819.7,7.10529,13450,11850,13450,11850,814.951,4,0.389333,140.74,5.20201,5.03102,3.51851,0.45606,126.171,0.6538
40018.6,5.02765,13450,11850,13450,11850,800.364,5,0.36183,198.9,0.602013,0.423325,4.9725,0.329697,164.317,0.495
40171.4,6.54459,13450,11850,13450,11850,789.509,4,0.181778,152.798,1.72201,1.49291,3.81995,0.426392,128.806,0.4187
40346.2,5.72204,13450,11850,13450,11850,777.448,4,0.55085,174.763,2.84201,2.71625,4.36907,0.377219,133.746,0.4638
40507.7,6.19111,13450,11850,13450,11850,766.624,4,0.588898,161.522,3.96201,3.8469,4.03805,0.406137,120.338,0.4276
40683.9,5.67484,13450,11850,13450,11850,755.154,4,0.99431,176.217,5.08201,5.08042,4.40541,0.374172,157.316,0.4215
40832.6,6.72561,13450,11850,13450,11850,745.74,4,0.711447,148.685,0.202014,0.202014,3.71714,0.436287,130.422,0.3978
40983,6.64856,13450,11850,13450,11850,736.453,4,0.471662,150.409,1.32201,1.17408,3.76022,0.432113,123.947,0.4331
41140.1,6.36525,13450,11850,13450,11850,726.996,4,0.39924,157.103,2.44201,2.2738,3.92758,0.416273,133.204,0.6115
41288.2,6.75341,13450,11850,13450,11850,718.302,4,0.101072,148.073,3.56201,3.31031,3.70183,0.437779,128.09,0.5127
41426.7,7.21882,13450,11850,13450,11850,710.355,3,0.56424,138.527,4.40201,4.28,3.46317,0.461726,119.807,0.4468
41569.3,7.01237,13450,11850,13450,11850,702.355,4,0.129368,142.605,5.52202,5.27824,3.56513,0.45134,126.133,0.4375
41716.3,6.80242,13450,11850,13450,11850,694.295,3,0.804528,147.006,0.362016,0.307283,3.67516,0.440393,128.913,0.5729
41932.5,4.62589,13450,11850,13450,11850,682.773,5,0,216.175,1.76202,1.48202,5.40437,0.299408,158.292,0.4988
42107.7,5.70686,13450,11850,13450,11850,673.711,4,0.38069,175.228,2.88202,2.70861,4.38069,0.376242,154.901,0.6166
42248.6,7.10033,13450,11850,13450,11850,666.6,3,0.901653,140.838,3.72202,3.69448,3.52096,0.45581,124.589,0.4501
42385.7,7.29071,13450,11850,13450,11850,659.817,4,0.330673,137.161,4.84202,4.6546,3.42902,0.465258,122.568,0.5483
42525.8,7.14122,13450,11850,13450,11850,653.033,3,0.831475,140.032,5.68202,5.63483,3.5008,0.457865,121.09,0.5579
