t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms
41150.5,39.6124,14650,13150,14650,13150,3164.25,0,0.826537,25.2446,1.002,0.953432,0.631115,0.868638,19.2573,0.0479
41179.6,34.3131,14641.5,13158.5,14645.3,13154.7,3135.63,1,0.555122,29.1434,0.33,0.33,0.728585,0.849949,27.6884,0.0513
41215.3,28.0548,14633,13167,14637.7,13162.3,3100.47,1,0.446235,35.6445,0.66,0.477258,0.891113,0.819676,29.8552,0.0706
41240.3,40.0093,14624.5,13175.5,14632.4,13167.6,3077.6,1,0.07109,24.9942,0.99,0.68346,0.624855,0.869852,21.1233,0.1044
41264.9,40.6037,14624.5,13175.5,14627.2,13172.8,3051.35,0,0.686797,24.6283,0.99,0.886643,0.615708,0.871629,21.4621,0.0532
41283.6,53.4848,14616.1,13183.9,14623.2,13176.8,3035.85,1,0.15422,18.6969,1.32,1.04089,0.467422,0.900953,16.9561,0.0396
41304.8,47.1038,14616.1,13183.9,14618.7,13181.3,3013.84,0,0.684963,21.2297,1.32,1.21604,0.530743,0.888312,18.5604,0.0405
41325.5,48.483,14607.6,13192.4,14614.4,13185.6,2996.82,1,0.200607,20.6258,1.65,1.3862,0.515645,0.89131,18.8054,0.0432
41349.9,40.8685,14607.6,13192.4,14609.2,13190.8,2972.15,0,0.812325,24.4687,1.65,1.58807,0.611718,0.872406,20.5648,0.0496
41369.2,51.9729,14599.1,13200.9,14605.1,13194.9,2957.05,1,0.293345,19.2408,1.98,1.7468,0.48102,0.898223,17.1857,0.0397
41389.1,50.1703,14599.1,13200.9,14600.9,13199.1,2937.48,0,0.791647,19.9321,1.98,1.91124,0.498302,0.894766,17.2125,0.0424
41408.1,52.5749,14590.6,13209.4,14596.8,13203.2,2923.01,1,0.26716,19.0205,2.31,2.06816,0.475513,0.899328,17.3353,0.0411
41428,50.339,14590.6,13209.4,14592.6,13207.4,2903.97,0,0.763793,19.8653,2.31,2.23205,0.496632,0.8951,17.2687,0.0408
41446.5,54.0196,14582.1,13217.9,14588.7,13211.3,2890.37,1,0.226588,18.5118,2.64,2.38477,0.462795,0.901884,17.5133,0.04
41466.5,49.9855,14582.1,13217.9,14584.4,13215.6,2871.65,0,0.726732,20.0058,2.64,2.54982,0.500145,0.894398,17.3623,0.042
41485.7,52.2076,14573.6,13226.4,14580.4,13219.6,2857.82,1,0.20559,19.1543,2.97,2.70784,0.478857,0.898657,17.5,0.051
41510.8,39.7504,14573.6,13226.4,14575,13225,2834.87,0,0.834515,25.157,2.97,2.91539,0.628925,0.869062,22.0126,0.0455
41531.8,47.7744,14565.1,13234.9,14570.6,13229.4,2819.87,1,0.357807,20.9317,3.3,3.08808,0.523292,0.88979,19.6765,0.0419
41570.4,25.8985,14556.7,13243.3,14562.4,13237.6,2789.53,1,0.323115,38.6123,3.63,3.40663,0.965307,0.806217,35.2185,0.0714
41605.8,28.2056,14548.2,13251.8,14554.9,13245.1,2762.61,1,0.209465,35.454,3.96,3.69912,0.88635,0.820548,31.8911,0.0534
41632.8,37.0784,14548.2,13251.8,14549.2,13250.8,2739.72,0,0.883712,26.9699,3.96,3.92162,0.674248,0.860317,24.2041,0.0523
41653.4,48.4764,14539.7,13260.3,14544.8,13255.2,2726.14,1,0.399428,20.6286,4.29,4.09181,0.515715,0.891296,19.3045,0.0443
41672,53.771,14539.7,13260.3,14540.8,13259.2,2710.75,0,0.864362,18.5974,4.29,4.24524,0.464935,0.901453,16.3169,0.0368
41689.4,57.3816,14531.2,13268.8,14537.1,13262.9,2700.11,1,0.300043,17.4272,4.62,4.38901,0.43568,0.907357,16.2406,0.0431
41706.8,57.603,14531.2,13268.8,14533.5,13266.5,2686.03,0,0.734047,17.3602,4.62,4.53224,0.434005,0.907696,14.9941,0.0398
