t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
61456.8,4.73816,13450,12050,13450,12050,780.141,5,0.276305,211.052,5.88201,5.67938,5.27631,0.308087,193.499,0.0512,1.6662,7.4755,172.176,0.1828
61647.4,5.24723,13450,12050,13450,12050,767.087,5,0.0407275,190.577,1.28201,1.01341,4.76442,0.345366,170.709,0.0438,2.4308,8.822,148.755,0.073
61822.5,5.71034,13450,12050,13450,12050,755.472,4,0.418748,175.121,2.40201,2.23926,4.37802,0.376466,162.085,0.042,2.4177,10.5813,138.051,0.0656
62003.2,5.53486,13450,12050,13450,12050,743.851,4,0.93557,180.673,3.52201,3.50397,4.51682,0.364985,168.81,0.6403,1.6896,8.1207,148.064,0.1018
62138.7,7.38128,13450,12050,13450,12050,735.368,4,0.322515,135.478,4.64201,4.45232,3.38695,0.469647,120.929,0.5802,3.0958,5.7935,99.3734,0.1385
62265.9,7.85776,13450,12050,13450,12050,727.575,3,0.504083,127.263,5.48201,5.34316,3.18157,0.491671,110.69,0.4696,2.9206,6.4373,89.1422,0.1283
62414.9,6.71392,13450,12050,13450,12050,718.661,4,0.22769,148.944,0.602013,0.385766,3.72361,0.435657,121.973,0.4753,3.2639,6.0738,99.529,0.0231
62542.5,7.83528,13450,12050,13450,12050,711.195,3,0.418388,127.628,1.44201,1.27916,3.1907,0.49067,110.891,2.9855,2.9625,6.1553,87.3161,0.0269
62721.5,5.58616,13450,12050,13450,12050,700.98,4,0.89373,179.014,2.56201,2.53226,4.47534,0.368379,154.313,0.7641,4.4924,9.5238,121.746,0.0357
62929.5,4.80797,13450,12050,13450,12050,689.475,5,0,207.988,3.96201,3.68201,5.1997,0.313399,180.974,0.5907,4.9645,12.2764,150.965,0.0244
63076.9,6.78321,13450,12050,13450,12050,681.545,3,0.68557,147.423,4.80201,4.71397,3.68557,0.439371,123.546,0.4791,3.4861,7.2891,99.7542,0.0319
63198.3,8.24247,13450,12050,13450,12050,675.156,3,0.718642,121.323,5.64201,5.56323,3.03307,0.508235,109.023,0.411,2.9782,5.6477,88.2177,0.0197
63322.4,8.05338,13450,12050,13450,12050,668.739,3,0.822927,124.171,0.482014,0.432434,3.10429,0.500223,112.192,0.444,3.2962,6.3811,90.7001,0.0277
63436.6,8.76096,13450,12050,13450,12050,662.947,3,0.676495,114.143,1.32201,1.23143,2.85357,0.529006,104.891,0.422,2.8437,5.5677,84.7901,0.0276
