t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render,eff_step,eff_decay,cpu_render_ms,swap_ms,terrain_ms,objects_ms,chars_ms,effects_ms
48658.9,6.3863,13450,12050,13450,12050,774.02,4,0.045445,156.585,5.60201,5.33473,3.91463,0.417478,131.935,0.4543,3.2008,10.3036,105.623,0.0312
48791.8,7.52252,13450,12050,13450,12050,765.01,3,0.3688,132.934,0.442011,0.265275,3.32335,0.476358,114.135,0.5017,3.1109,5.507,93.1791,0.0372
48923.7,7.58359,13450,12050,13450,12050,756.278,3,0.66539,131.864,1.28201,1.18832,3.29659,0.479212,117.667,0.7134,3.8591,6.4628,94.7705,0.0316
49074.8,6.61664,13450,12050,13450,12050,746.512,4,0.443745,151.134,2.40201,2.24626,3.77835,0.430368,138.982,0.4488,3.4911,5.7347,115.215,0.0287
49237.4,6.14947,13450,12050,13450,12050,736.281,4,0.509135,162.616,3.52201,3.38457,4.06539,0.403667,143.707,0.4807,2.8807,5.819,120.806,0.0284
49372.5,7.4055,13450,12050,13450,12050,727.997,3,0.885002,135.035,4.36201,4.32981,3.37587,0.470809,116.519,0.4688,3.0505,5.849,95.4006,0.0222
49542.9,5.86903,13450,12050,13450,12050,717.806,5,0.144647,170.386,5.76201,5.52251,4.25964,0.386543,116.013,0.4521,2.9637,5.7803,94.9576,0.0285
49702.7,6.25834,13450,12050,13450,12050,708.505,4,0.139315,159.787,0.882013,0.641021,3.99467,0.410088,131.962,0.5256,4.3412,8.0544,107.051,0.0249
49856.2,6.51065,13450,12050,13450,12050,699.789,3,0.979177,153.594,1.72201,1.71618,3.83986,0.424501,136.223,0.4818,3.1806,6.594,113.761,0.0241
50014.4,6.32149,13450,12050,13450,12050,691.033,4,0.93394,158.191,2.84201,2.82352,3.95476,0.413756,145.943,0.4504,2.896,6.0767,123.108,0.0306
50176.2,6.18238,13450,12050,13450,12050,682.304,4,0.977687,161.75,3.96201,3.95577,4.04375,0.405621,143.552,0.6497,4.4887,6.4222,118.789,0.0385
50314.6,7.22385,13450,12050,13450,12050,675.007,4,0.438448,138.43,5.08201,4.92478,3.46076,0.461974,120.343,0.5291,2.9037,5.5259,98.7345,0.0333
50444.7,7.68759,13450,12050,13450,12050,668.29,3,0.69044,130.08,5.92201,5.83534,3.25199,0.484004,113.462,0.4674,2.9537,5.6154,92.745,0.0266
